idx,accelX_g,accelY_g,accelZ_g,magX_uT,magY_uT,magZ_uT,gyroX_dps,gyroY_dps,gyroZ_dps,gyroX_deg,gyroY_deg,gyroZ_deg,temp_C,humidity,pres_Pa,alt_m
374.0,0.093,0.934,0.01,-30.0,-79.1,13.0,-1.812,-3.562,0.375,89.401,-5.669,147.916,25.665,42.11,99706.74,141.01
375.0,0.093,0.934,0.011,-29.2,-77.5,11.2,-1.375,-3.438,0.125,89.341,-5.669,150.553,25.67,42.07,99711.52,140.59
376.0,0.093,0.933,0.013,-28.8,-78.1,11.3,-1.938,-3.375,-0.062,89.221,-5.674,149.462,25.67,42.1,99705.86,141.09
377.0,0.094,0.935,0.008,-29.4,-78.1,11.0,-1.625,-3.25,-0.188,89.522,-5.722,151.518,25.669,42.08,99704.55,141.2
378.0,0.096,0.935,0.009,-29.1,-78.4,12.6,-0.812,-3.375,-0.062,89.462,-5.841,147.562,25.668,42.08,99706.98,140.99
379.0,0.091,0.935,0.01,-29.2,-78.4,13.1,-2.562,-3.625,0.5,89.402,-5.544,147.086,25.675,42.08,99706.19,141.06
380.0,0.094,0.936,0.008,-29.1,-79.3,10.1,-2.062,-3.188,-0.062,89.522,-5.716,152.94,25.673,42.07,99705.64,141.11
381.0,0.092,0.935,0.011,-29.0,-78.9,11.7,-1.75,-3.0,0.188,89.342,-5.604,149.23,25.67,42.08,99706.57,141.02
382.0,0.096,0.935,0.008,-29.3,-79.0,12.9,-1.688,-3.25,-0.25,89.522,-5.841,147.299,25.675,42.08,99707.04,140.99
383.0,0.091,0.935,0.013,-29.9,-79.1,11.5,-1.938,-3.438,-0.438,89.223,-5.544,150.403,25.675,42.05,99705.47,141.12
384.0,0.092,0.935,0.013,-29.6,-79.6,10.6,-1.625,-3.312,-0.25,89.223,-5.603,151.712,25.671,42.07,99704.51,141.21
385.0,0.093,0.936,0.011,-28.5,-78.0,11.9,-1.5,-3.125,-0.5,89.343,-5.657,148.265,25.673,42.04,99702.4,141.39
386.0,0.092,0.931,0.01,-28.3,-78.8,12.1,-2.438,-3.188,0.188,89.399,-5.627,147.705,25.674,42.02,99707.53,140.94
387.0,0.088,0.935,0.01,-29.7,-78.1,11.5,-1.875,-3.25,-0.062,89.402,-5.367,151.066,25.676,42.1,99703.99,141.25
388.0,0.092,0.936,0.007,-29.6,-79.1,12.6,-1.438,-3.438,0.375,89.582,-5.598,148.793,25.675,42.03,99702.95,141.34
389.0,0.091,0.936,0.009,-29.2,-78.7,13.2,-1.5,-3.312,-0.062,89.462,-5.539,147.021,25.676,42.07,99705.07,141.16
390.0,0.094,0.933,0.015,-28.8,-79.7,11.0,-1.75,-3.312,0.0,89.101,-5.734,149.4,25.678,42.08,99705.25,141.14
391.0,0.092,0.934,0.007,-29.2,-78.7,12.9,-2.0,-3.375,-0.375,89.581,-5.61,147.774,25.685,42.01,99703.87,141.27
392.0,0.091,0.934,0.011,-29.0,-78.4,10.7,-1.562,-3.312,0.062,89.341,-5.55,151.42,25.678,42.01,99704.66,141.2
393.0,0.094,0.934,0.01,-28.3,-79.2,11.6,-1.5,-3.438,0.125,89.401,-5.728,148.484,25.676,42.02,99702.91,141.35
394.0,0.091,0.933,0.008,-28.5,-78.5,12.1,-2.0,-3.5,0.188,89.521,-5.556,148.45,25.68,42.02,99707.01,140.99
395.0,0.093,0.936,0.014,-29.0,-80.4,11.1,-2.312,-3.062,-0.125,89.164,-5.657,149.639,25.675,41.99,99703.08,141.33
